PL_Code,Description,Demand_Pattern,XYZ_Class,Forecast_Method,Forecast_2026_27,Forecast_Jul_2026,Forecast_Aug_2026,Forecast_Sep_2026,Forecast_Oct_2026,Forecast_Nov_2026,Forecast_Dec_2026,Forecast_Jan_2027,Forecast_Feb_2027,Forecast_Mar_2027,Forecast_Apr_2027,Forecast_May_2027,Forecast_Jun_2027,Seasonality_Modeled
400600041170,2.5 sqmm 3 Core Power cable Copper,Intermittent,Z,SBA,1710.0,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,No
401107494209,2C x 70 Sqmm XLPE Insulated PVC Sheathed Aluminium Cable,Intermittent,Z,SBA,51516.6,4293.05,4293.05,4293.05,4293.05,4293.05,4293.05,4293.05,4293.05,4293.05,4293.05,4293.05,4293.05,No
402500150037,PVC Copper Cable 25 Sqmm Used for the DDTC 24 ALSTOM Make AFTC @ ABC Connection.,Lumpy,Z,TSB,246.8342,20.5695,20.5695,20.5695,20.5695,20.5695,20.5695,20.5695,20.5695,20.5695,20.5695,20.5695,20.5695,No
405000010983,GI WIRE 8 SWG (4mm dia),Lumpy,Z,TSB,2470.7986,205.8999,205.8999,205.8999,205.8999,205.8999,205.8999,205.8999,205.8999,205.8999,205.8999,205.8999,205.8999,No
409002561998,Cable PVC Wire Coil 3/20 Copper,Erratic,Z,Croston,51.8672,4.3223,4.3223,4.3223,4.3223,4.3223,4.3223,4.3223,4.3223,4.3223,4.3223,4.3223,4.3223,No
40981381,WIRE PVC COPPER 16/.2MM GREY,Intermittent,Z,SBA,22.1079,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,No
421100070120,150W LED Luminaire For Flood Light,Lumpy,Z,TSB,10.8822,0.9068,0.9068,0.9068,0.9068,0.9068,0.9068,0.9068,0.9068,0.9068,0.9068,0.9068,0.9068,No
423500060515,Laptop Intel core i7 15.6 Inch Display,Intermittent,Z,SBA,1.6286,0.1357,0.1357,0.1357,0.1357,0.1357,0.1357,0.1357,0.1357,0.1357,0.1357,0.1357,0.1357,No
429079389199,"BRANDWAY 4 POLE GAZEBO TENT WITH POLE HEIGHT, 7 FEET",Lumpy,Z,TSB,3.7036,0.3086,0.3086,0.3086,0.3086,0.3086,0.3086,0.3086,0.3086,0.3086,0.3086,0.3086,0.3086,No
430200021416,Digital Multimeter make Rishi 18S,Intermittent,Z,SBA,10.679,0.8899,0.8899,0.8899,0.8899,0.8899,0.8899,0.8899,0.8899,0.8899,0.8899,0.8899,0.8899,No
430200021910,Digital Multimeter make Rishabh Model 14S,Intermittent,Z,SBA,12.4364,1.0364,1.0364,1.0364,1.0364,1.0364,1.0364,1.0364,1.0364,1.0364,1.0364,1.0364,1.0364,No
430200028538,True RMS Multimeter,Lumpy,Z,TSB,57.977,4.8314,4.8314,4.8314,4.8314,4.8314,4.8314,4.8314,4.8314,4.8314,4.8314,4.8314,4.8314,No
430600150050,Battery Analyzer,Intermittent,Z,SBA,22.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,No
430800141263,FLUKE Single-point laser Class II Handheld Digital Infrared Thermometer,Intermittent,Z,SBA,25.0582,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,2.0882,No
431002240078,Ultrasonic thickness Gauge with LCD Digital display along with all accessories,Intermittent,Z,SBA,11.4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,No
431500022334,Split AC 2 Ton Capacity with Indoor and Outdoor unit.,Lumpy,Z,TSB,13.808,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,1.1507,No
432900164003,"Laptop i5 Processor, 14 inch Display with Battery and Adapter",Intermittent,Z,SBA,4.2222,0.3519,0.3519,0.3519,0.3519,0.3519,0.3519,0.3519,0.3519,0.3519,0.3519,0.3519,0.3519,No
45174416,HYDROMETER ASSEMBLY COMPLETE AS PER SEL DRG 126 CONSISTING OF (1) HYDROMETER GRADUATED FROM 1.100 TO....,Smooth,Y,SES/Holt,102.9098,8.5758,8.5758,8.5758,8.5758,8.5758,8.5758,8.5758,8.5758,8.5758,8.5758,8.5758,8.5758,No
460151414110,Copper Lugs (Double Hole),Intermittent,Z,SBA,13.119,1.0933,1.0933,1.0933,1.0933,1.0933,1.0933,1.0933,1.0933,1.0933,1.0933,1.0933,1.0933,No
461500560400,GI Flat of Size 550X25X3mm to connect all cable armours to earth,Intermittent,Z,SBA,228.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,No
